timestamp_iso,scenario,mode,fps,face_active,body_active,hands_active
2026-04-26T11:19:23,idle,all,30.01,1,1,1
2026-04-26T11:19:24,idle,all,29.94,1,1,1
2026-04-26T11:19:25,idle,all,29.98,0,1,1
2026-04-26T11:19:26,idle,all,30.00,1,1,1
2026-04-26T11:19:28,idle,all,30.15,0,1,1
2026-04-26T11:19:29,idle,all,29.78,1,1,1
2026-04-26T11:19:30,idle,all,29.95,0,1,1
2026-04-26T11:19:31,idle,all,30.16,1,1,1
2026-04-26T11:19:32,idle,all,29.83,0,1,1
2026-04-26T11:19:33,idle,all,29.98,1,1,1
2026-04-26T11:19:34,idle,all,29.90,1,1,1
2026-04-26T11:19:35,idle,all,30.22,1,1,1
2026-04-26T11:19:36,idle,all,29.75,1,1,1
2026-04-26T11:19:37,idle,all,30.24,1,1,1
2026-04-26T11:19:38,idle,all,29.79,1,1,1
2026-04-26T11:19:39,idle,all,29.98,1,1,0
2026-04-26T11:19:40,idle,all,30.15,1,1,0
2026-04-26T11:19:41,idle,all,29.98,1,1,0
2026-04-26T11:19:42,idle,all,26.99,1,1,0
2026-04-26T11:19:43,idle,all,29.95,1,1,0
2026-04-26T11:19:44,idle,all,29.00,1,1,0
2026-04-26T11:19:45,idle,all,29.95,1,1,0
2026-04-26T11:19:48,body_moving,all,23.93,1,1,0
2026-04-26T11:19:49,body_moving,all,29.86,1,1,0
2026-04-26T11:19:50,body_moving,all,30.02,1,1,0
2026-04-26T11:19:53,hand_near_face,all,22.90,1,1,0
2026-04-26T11:19:54,hand_near_face,all,29.83,1,1,0
2026-04-26T11:19:55,hand_near_face,all,30.09,1,1,0
2026-04-26T11:19:56,hand_near_face,all,29.94,1,1,0
2026-04-26T11:19:57,hand_near_face,all,28.70,1,1,0
2026-04-26T11:19:58,hand_near_face,all,30.35,1,1,1
2026-04-26T11:19:59,hand_near_face,all,29.96,1,1,1
2026-04-26T11:20:00,hand_near_face,all,29.98,0,1,1
2026-04-26T11:20:01,hand_near_face,all,29.97,1,1,1
2026-04-26T11:20:02,hand_near_face,all,29.99,1,1,1
2026-04-26T11:20:03,hand_near_face,all,29.99,0,1,1
2026-04-26T11:20:04,hand_near_face,all,29.97,0,1,1
2026-04-26T11:20:05,hand_near_face,all,29.97,0,1,1
2026-04-26T11:20:06,hand_near_face,all,29.92,1,1,1
2026-04-26T11:20:07,hand_near_face,all,30.04,1,1,1
2026-04-26T11:20:08,hand_near_face,all,29.95,1,1,1
2026-04-26T11:20:09,hand_near_face,all,29.96,1,1,1
2026-04-26T11:20:10,hand_near_face,all,29.03,1,1,1
2026-04-26T11:20:11,hand_near_face,all,29.79,1,1,1
2026-04-26T11:20:12,hand_near_face,all,30.19,1,1,1
2026-04-26T11:20:13,hand_near_face,all,29.98,1,1,1
2026-04-26T11:20:14,hand_near_face,all,29.98,1,1,0
2026-04-26T11:20:15,hand_near_face,all,29.98,1,1,1
2026-04-26T11:20:16,hand_near_face,all,29.98,1,1,1
2026-04-26T11:20:17,hand_near_face,all,28.98,1,1,1
2026-04-26T11:20:18,hand_near_face,all,28.98,0,1,1
2026-04-26T11:20:19,hand_near_face,all,28.98,0,1,1
2026-04-26T11:20:20,hand_near_face,all,28.94,0,1,1
2026-04-26T11:20:21,hand_near_face,all,29.87,0,1,1
2026-04-26T11:20:24,hand_on_face,all,23.92,1,1,1
2026-04-26T11:20:25,hand_on_face,all,28.96,1,1,1
2026-04-26T11:20:26,hand_on_face,all,28.73,1,1,1
2026-04-26T11:20:27,hand_on_face,all,29.98,1,1,1
2026-04-26T11:20:28,hand_on_face,all,30.26,1,1,1
2026-04-26T11:20:29,hand_on_face,all,29.97,1,1,1
2026-04-26T11:20:30,hand_on_face,all,29.98,1,1,1
2026-04-26T11:20:31,hand_on_face,all,29.96,1,1,1
2026-04-26T11:20:32,hand_on_face,all,29.87,1,1,1
2026-04-26T11:20:33,hand_on_face,all,29.99,1,1,1
2026-04-26T11:20:34,hand_on_face,all,30.00,0,1,1
2026-04-26T11:20:35,hand_on_face,all,29.90,1,1,1
2026-04-26T11:20:36,hand_on_face,all,29.96,1,1,1
2026-04-26T11:20:37,hand_on_face,all,30.12,1,1,1
2026-04-26T11:20:38,hand_on_face,all,29.97,1,1,1
2026-04-26T11:20:39,hand_on_face,all,28.95,1,1,1
2026-04-26T11:20:40,hand_on_face,all,28.34,1,1,0
2026-04-26T11:20:41,hand_on_face,all,28.73,1,1,0
2026-04-26T11:20:42,hand_on_face,all,29.84,1,1,0
2026-04-26T11:20:43,hand_on_face,all,30.02,1,1,0
2026-04-26T11:20:44,hand_on_face,all,29.89,1,1,1
2026-04-26T11:20:45,hand_on_face,all,29.17,1,1,1
2026-04-26T11:20:46,hand_on_face,all,29.98,1,1,1
2026-04-26T11:20:47,hand_on_face,all,28.99,1,1,1
2026-04-26T11:20:48,hand_on_face,all,29.86,1,1,1
2026-04-26T11:20:49,hand_on_face,all,29.98,1,1,1
2026-04-26T11:20:50,hand_on_face,all,30.00,1,1,1
2026-04-26T11:20:51,hand_on_face,all,29.90,1,1,1
2026-04-26T11:20:52,hand_on_face,all,29.95,1,1,1
2026-04-26T11:20:55,idle,body,22.91,0,1,0
2026-04-26T11:20:56,idle,body,28.83,0,1,0
2026-04-26T11:20:57,idle,body,30.00,0,1,0
2026-04-26T11:20:58,idle,body,29.92,0,1,0
2026-04-26T11:20:59,idle,body,29.11,0,1,0
2026-04-26T11:21:00,idle,body,29.94,0,1,0
2026-04-26T11:21:01,idle,body,29.43,0,1,0
2026-04-26T11:21:02,idle,body,29.72,0,1,0
2026-04-26T11:21:03,idle,body,29.91,0,1,0
2026-04-26T11:21:04,idle,body,30.04,0,1,0
2026-04-26T11:21:05,idle,body,28.98,0,1,0
2026-04-26T11:21:06,idle,body,28.97,0,1,0
2026-04-26T11:21:07,idle,body,28.98,0,1,0
2026-04-26T11:21:08,idle,body,29.93,0,1,0
2026-04-26T11:21:09,idle,body,29.99,0,1,0
2026-04-26T11:21:10,idle,body,29.90,0,1,0
2026-04-26T11:21:11,idle,body,29.01,0,1,0
2026-04-26T11:21:12,idle,body,30.02,0,1,0
2026-04-26T11:21:13,idle,body,29.97,0,1,0
2026-04-26T11:21:14,idle,body,29.08,0,1,0
2026-04-26T11:21:15,idle,body,27.97,0,1,0
2026-04-26T11:21:16,idle,body,29.96,0,1,0
2026-04-26T11:21:17,idle,body,29.88,0,1,0
2026-04-26T11:21:18,idle,body,29.90,0,1,0
2026-04-26T11:21:19,idle,body,29.97,0,1,0
2026-04-26T11:21:20,idle,body,29.97,0,1,0
2026-04-26T11:21:21,idle,body,29.98,0,1,0
2026-04-26T11:21:22,idle,body,29.98,0,1,0
2026-04-26T11:21:23,idle,body,29.99,0,1,0
2026-04-26T11:21:26,body_moving,body,25.22,0,1,0
2026-04-26T11:21:27,body_moving,body,29.99,0,1,0
2026-04-26T11:21:28,body_moving,body,29.97,0,1,0
2026-04-26T11:21:29,body_moving,body,29.98,0,1,0
2026-04-26T11:21:30,body_moving,body,29.98,0,1,0
2026-04-26T11:21:31,body_moving,body,29.98,0,1,0
2026-04-26T11:21:32,body_moving,body,29.98,0,1,0
2026-04-26T11:21:33,body_moving,body,29.98,0,1,0
2026-04-26T11:21:34,body_moving,body,29.97,0,1,0
2026-04-26T11:21:35,body_moving,body,29.99,0,1,0
2026-04-26T11:21:36,body_moving,body,29.97,0,1,0
2026-04-26T11:21:37,body_moving,body,29.98,0,1,0
2026-04-26T11:21:38,body_moving,body,29.98,0,1,0
2026-04-26T11:21:39,body_moving,body,29.98,0,1,0
2026-04-26T11:21:40,body_moving,body,29.98,0,1,0
2026-04-26T11:21:41,body_moving,body,29.98,0,1,0
2026-04-26T11:21:42,body_moving,body,29.98,0,1,0
2026-04-26T11:21:43,body_moving,body,29.98,0,1,0
2026-04-26T11:21:44,body_moving,body,29.97,0,1,0
2026-04-26T11:21:45,body_moving,body,29.98,0,1,0
2026-04-26T11:21:46,body_moving,body,29.98,0,1,0
2026-04-26T11:21:47,body_moving,body,29.97,0,1,0
2026-04-26T11:21:48,body_moving,body,29.98,0,1,0
